"","CODE_IRIS","NB_NIV","n","poidsFitAIC","poidsFitCHI2"
"325",341720801,6,5,0.0177364149762702,0.036766281747033
"326",341720801,7,4,0.00541789258582957,0.0260283034166938
"327",341720801,8,3,0.0014481148020613,0.0184264643189311
"328",341720801,9,1,0.00034405119649229,0.0130448220869853
"329",341720801,10,0,7.35674430475777e-05,0.00923494493223379
"330",341720801,11,1,1.43006430219934e-05,0.00653778237316688
"331",343370101,1,398,0.497797019138664,0.230987419020679
"332",343370101,2,416,0.314548536065175,0.147343667558735
"333",343370101,3,152,0.132504853366327,0.0939884798129004
"334",343370101,4,7,0.0418636573196301,0.0599539463344672
"335",343370102,1,814,0.816179440841648,0.247751391291675
"336",343370102,2,209,0.160527833021223,0.135623942034834
"337",343370102,3,3,0.0210486272054067,0.074243190147873
"338",340220103,1,514,0.740832360646933,0.245408420583649
"339",340220103,2,195,0.212138712128379,0.139333377895552
"340",340220103,3,13,0.0404975408509321,0.0791080850021911
"341",340220103,4,2,0.00579827273810027,0.0449145007982589
"342",340220102,1,324,0.521811474134737,0.232946982587011
"343",340220102,2,443,0.309221122049741,0.146893386041305
"344",340220102,3,75,0.122161236463486,0.0926290893449116
"345",340220102,4,1,0.0361958642945337,0.0584107183046006
"346",341290102,1,481,0.773447565577439,0.246532554779146
"347",341290102,2,137,0.190862714324656,0.137783351055741
"348",341290102,3,14,0.0313993064650981,0.0770050504898087
"349",341290102,4,0,0.0038741843187302,0.0430369689480048
"350",341290102,5,1,0.000382411099485362,0.0240527171198551
"351",341290101,1,895,0.674764878463559,0.242588864077585
"352",341290101,2,502,0.250070354519935,0.142178411149211
"353",341290101,3,32,0.0617846642642087,0.0833290541747575
"354",341290101,4,11,0.0114488123119468,0.0488381549177146
"355",341290108,1,141,0.555555033402011,0.229591837789264
"356",341290108,2,92,0.246913638263701,0.147594752017105
"357",341290108,3,31,0.109739523710699,0.094882340037653
"358",341290108,4,15,0.0487731789500806,0.0609957896739953
"359",341290108,5,4,0.0216769938893463,0.0392115788510048
"360",341290108,6,0,0.00963423082509532,0.0252074434023448
"361",341290108,7,1,0.0042818853972568,0.016204784951324
"362",341290108,8,1,0.00190306241236021,0.0104173616946108
"363",341290107,1,155,0.559391432544178,0.235756357858985
"364",341290107,2,109,0.298630998293118,0.146014929493788
"365",341290107,3,37,0.106282730306804,0.0904338692228537
"366",341290107,4,1,0.0283695065801106,0.0560099212523618
"367",341290107,5,1,0.00605802204196791,0.034689561617286
"368",341290104,1,413,0.782067102618204,0.246801263320005
"369",341290104,2,122,0.18496612824495,0.137359063288658
"370",341290104,3,4,0.0291641373512074,0.0764481997123082
"371",341290104,4,0,0.00344879458002866,0.0425478093642148
"372",341290104,5,2,0.000326268770771445,0.0236802970966772
"373",340220101,1,434,0.640424918737355,0.240820461602891
"374",340220101,2,341,0.266949106033337,0.143483216979312
"375",340220101,3,15,0.0741818159860653,0.0854887222526824
"376",340220101,4,0,0.0154606487677371,0.0509350277074567
"377",340220101,5,1,0.00257779249151012,0.0303475941527243
"378",341290105,1,126,0.714529772052668,0.244375000707314
"379",341290105,2,58,0.228082089337806,0.140515624254373
"380",341290105,3,1,0.0485367594292155,0.0807964832836726
"381",341290105,4,2,0.00774660898208584,0.0464579775071216
"382",341720105,1,61,0.314088709916724,0.210878655781145
"383",341720105,2,149,0.313284863393439,0.147149262500301
"384",341720105,3,53,0.208322049435159,0.102679455036238
"385",341720105,4,19,0.103894445643142,0.071648816360988
"386",341720105,5,14,0.0414514195295698,0.0499959109066057
"387",341720105,6,4,0.0137817776685112,0.0348867048240904
"388",341720105,7,1,0.0039275731417617,0.0243436343375516
"389",341720704,1,280,0.590477553844181,0.237852643014483
"390",341720704,2,274,0.287869723985194,0.145141262168101
"391",341720704,3,24,0.0935615333135136,0.0885673823791265
"392",341720704,4,2,0.0228065678324667,0.0540451495619856
"393",341720106,1,47,0.232575540743086,0.198062060974824
"394",341720106,2,69,0.284036188436965,0.144169169527024
"395",341720106,3,57,0.231255491109212,0.104940589529429
"396",341720106,4,50,0.141212029519342,0.0763861466838777
"397",341720106,5,9,0.0689828801394534,0.055601397241766
"398",341720106,6,2,0.0280821079746279,0.040472199599632
