CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
341720803,239065,4,3,2,4,2,13,3.25,3.5,0.82915619758885,2,4,2.5,4,1.5
340950102,139324,6,2,1,2,1,10,1.66666666666667,2,0.471404520791032,1,2,1,2,1
342270000,447462,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
341720901,208972,7,2,1,2,1,12,1.71428571428571,2,0.451753951452626,1,2,1.5,2,0.5
341290105,320524,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341640000,374204,5,2,1,2,1,7,1.4,1,0.489897948556636,2,1,1,2,1
342590101,150124,3,1,1,1,0,3,1,1,0,1,1,1,1,0
341720301,247204,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720803,229481,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
342700103,188542,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341721203,252098,2,2,1,4,3,5,2.5,2.5,1.5,1,1,1,4,3
340870000,64081,6,3,1,3,2,12,2,2,0.816496580927726,1,1,1,3,2
343370102,233779,9,2,1,2,1,11,1.22222222222222,1,0.415739709641549,2,1,1,1,0
341721904,306782,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
341721201,252772,11,4,1,4,3,27,2.45454545454545,2,0.890723542830247,1,2,2,3,1
341721602,278087,9,2,1,2,1,17,1.88888888888889,2,0.314269680527354,1,2,2,2,0
342170102,260760,4,1,2,2,0,8,2,2,0,2,2,2,2,0
341720602,204849,1,1,5,5,0,5,5,5,0,5,5,5,5,0
341720401,200047,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341160101,163037,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
341721102,236348,3,3,1,6,5,11,3.66666666666667,4,2.05480466765633,1,1,2.5,5,2.5
341290105,309573,7,2,1,2,1,9,1.28571428571429,1,0.451753951452626,2,1,1,1.5,0.5
341290101,284322,7,1,1,1,0,7,1,1,0,1,1,1,1,0
341721301,244575,5,2,1,3,2,9,1.8,1,0.979795897113271,3,1,1,3,2
