"","taux","scenario","densifyGround","maxBuiltRatio","maximumDensity","PopNotPutUp","UnbuiltArea","AvgCellPop","AreaExpansion","BuiltFloorArea","CellesOpenTiUrb","AvgArtifRate","impact","GrndDensifiedCells"
"148",0,"reduction",TRUE,71,TRUE,0,0,NA,0,0,0,NA,0,0
"149",0,"reduction",TRUE,72,FALSE,0,0,NA,0,0,0,NA,0,0
"150",0,"reduction",TRUE,72,TRUE,0,0,NA,0,0,0,NA,0,0
"151",0,"reduction",TRUE,73,FALSE,0,0,NA,0,0,0,NA,0,0
"152",0,"reduction",TRUE,73,TRUE,0,0,NA,0,0,0,NA,0,0
"153",0,"reduction",TRUE,74,FALSE,0,0,NA,0,0,0,NA,0,0
"154",0,"reduction",TRUE,74,TRUE,0,0,NA,0,0,0,NA,0,0
"155",0,"reduction",TRUE,75,FALSE,0,0,NA,0,0,0,NA,0,0
"156",0,"reduction",TRUE,75,TRUE,0,0,NA,0,0,0,NA,0,0
"157",0,"reduction",TRUE,76,FALSE,0,0,NA,0,0,0,NA,0,0
"158",0,"reduction",TRUE,76,TRUE,0,0,NA,0,0,0,NA,0,0
"159",0,"reduction",TRUE,77,FALSE,0,0,NA,0,0,0,NA,0,0
"160",0,"reduction",TRUE,77,TRUE,0,0,NA,0,0,0,NA,0,0
"161",0,"reduction",TRUE,78,FALSE,0,0,NA,0,0,0,NA,0,0
"162",0,"reduction",TRUE,78,TRUE,0,0,NA,0,0,0,NA,0,0
"163",0,"reduction",TRUE,79,FALSE,0,0,NA,0,0,0,NA,0,0
"164",0,"reduction",TRUE,79,TRUE,0,0,NA,0,0,0,NA,0,0
"165",0,"reduction",TRUE,80,FALSE,0,0,NA,0,0,0,NA,0,0
"166",0,"reduction",TRUE,80,TRUE,0,0,NA,0,0,0,NA,0,0
"167",0,"reduction",TRUE,81,FALSE,0,0,NA,0,0,0,NA,0,0
"168",0,"reduction",TRUE,81,TRUE,0,0,NA,0,0,0,NA,0,0
"169",0,"reduction",TRUE,82,FALSE,0,0,NA,0,0,0,NA,0,0
"170",0,"reduction",TRUE,82,TRUE,0,0,NA,0,0,0,NA,0,0
"171",0,"reduction",TRUE,83,FALSE,0,0,NA,0,0,0,NA,0,0
"172",0,"reduction",TRUE,83,TRUE,0,0,NA,0,0,0,NA,0,0
"173",0,"reduction",TRUE,84,FALSE,0,0,NA,0,0,0,NA,0,0
"174",0,"reduction",TRUE,84,TRUE,0,0,NA,0,0,0,NA,0,0
"175",0,"reduction",TRUE,85,FALSE,0,0,NA,0,0,0,NA,0,0
"176",0,"reduction",TRUE,85,TRUE,0,0,NA,0,0,0,NA,0,0
