CODE_IRIS,NB_NIV,effectif,poidsNormalise_a_l_IRIS
341722304,4,8,0.04878048780487805
341722304,5,9,0.054878048780487805
341722304,6,14,0.08536585365853659
341722304,7,6,0.036585365853658534
341722304,8,1,0.006097560975609756
341722304,9,3,0.018292682926829267
341722305,1,26,0.06788511749347259
341722305,2,166,0.43342036553524804
341722305,3,140,0.36553524804177545
341722305,4,43,0.1122715404699739
341722305,5,6,0.015665796344647518
341722305,6,1,0.0026109660574412533
341722305,8,1,0.0026109660574412533
341722401,1,128,0.3575418994413408
341722401,2,122,0.3407821229050279
341722401,3,45,0.12569832402234637
341722401,4,39,0.10893854748603352
341722401,5,17,0.04748603351955307
341722401,7,5,0.013966480446927373
341722401,9,1,0.002793296089385475
341722401,11,1,0.002793296089385475
341722402,1,37,0.11349693251533742
341722402,2,158,0.48466257668711654
341722402,3,76,0.2331288343558282
341722402,4,38,0.1165644171779141
341722402,5,12,0.03680981595092025
341722402,6,1,0.003067484662576687
341722402,7,4,0.012269938650306749
341722403,1,30,0.06787330316742081
341722403,2,146,0.33031674208144796
341722403,3,128,0.2895927601809955
341722403,4,89,0.20135746606334842
341722403,5,29,0.06561085972850679
341722403,6,12,0.027149321266968326
341722403,7,5,0.011312217194570135
341722403,8,2,0.004524886877828055
341722403,9,1,0.0022624434389140274
341722501,1,18,0.05555555555555555
341722501,2,68,0.20987654320987653
341722501,3,133,0.4104938271604938
341722501,4,75,0.23148148148148148
341722501,5,26,0.08024691358024691
341722501,6,3,0.009259259259259259
341722501,7,1,0.0030864197530864196
341722502,1,17,0.059233449477351915
341722502,2,17,0.059233449477351915
341722502,3,56,0.1951219512195122
341722502,4,96,0.3344947735191638
341722502,5,67,0.23344947735191637
341722502,6,18,0.0627177700348432
341722502,7,15,0.05226480836236934
341722502,8,1,0.003484320557491289
341722503,1,7,0.023255813953488372
341722503,2,2,0.006644518272425249
341722503,3,22,0.07308970099667775
341722503,4,87,0.28903654485049834
341722503,5,104,0.34551495016611294
341722503,6,61,0.2026578073089701
341722503,7,12,0.03986710963455149
341722503,8,5,0.016611295681063124
341722503,9,1,0.0033222591362126247
341722504,1,5,0.018115942028985508
341722504,2,7,0.025362318840579712
341722504,3,19,0.06884057971014493
341722504,4,123,0.44565217391304346
341722504,5,91,0.32971014492753625
341722504,6,27,0.09782608695652174
341722504,7,3,0.010869565217391304
341722504,8,1,0.0036231884057971015
341722601,1,14,0.02422145328719723
341722601,2,102,0.17647058823529413
341722601,3,222,0.38408304498269896
341722601,4,185,0.32006920415224915
341722601,5,44,0.07612456747404844
341722601,6,9,0.015570934256055362
341722601,7,2,0.0034602076124567475
341722602,1,36,0.06440071556350627
341722602,2,131,0.23434704830053668
341722602,3,145,0.259391771019678
341722602,4,105,0.18783542039355994
341722602,5,106,0.18962432915921287
341722602,6,30,0.05366726296958855
341722602,7,5,0.008944543828264758
341722602,8,1,0.0017889087656529517
341722701,1,19,0.13970588235294118
341722701,2,18,0.1323529411764706
341722701,3,25,0.18382352941176472
341722701,4,24,0.17647058823529413
341722701,5,8,0.058823529411764705
341722701,6,6,0.04411764705882353
341722701,7,16,0.11764705882352941
341722701,8,13,0.09558823529411764
341722701,9,1,0.007352941176470588
341722701,10,1,0.007352941176470588
341722701,11,2,0.014705882352941176
341722701,17,1,0.007352941176470588
341722701,18,2,0.014705882352941176
341722703,1,12,0.14457831325301204
341722703,2,13,0.1566265060240964
341722703,3,7,0.08433734939759036
341722703,4,22,0.26506024096385544
341722703,5,9,0.10843373493975904
341722703,6,10,0.12048192771084337
341722703,7,5,0.060240963855421686
341722703,8,1,0.012048192771084338
341722703,11,1,0.012048192771084338
341722703,12,3,0.03614457831325301
341722704,1,1,0.018518518518518517
341722704,2,5,0.09259259259259259
341722704,4,18,0.3333333333333333
