"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"104",690,1.17695686695502e-05,1.17695686695502e-05,9.89728896092954e-06,9.89728896092954e-06,"340570107"
"105",710,9.68864923810726e-06,9.68864923810726e-06,8.09825148097506e-06,8.09825148097506e-06,"340570107"
"106",730,7.97564691575599e-06,7.97564691575599e-06,6.62622636441197e-06,6.62622636441197e-06,"340570107"
"107",750,6.56551209167677e-06,6.56551209167677e-06,5.42177233388925e-06,5.42177233388925e-06,"340570107"
"108",770,5.40469625614913e-06,5.40469625614913e-06,4.4362527966754e-06,4.4362527966754e-06,"340570107"
"109",790,4.44911854754841e-06,4.44911854754841e-06,3.62987186920349e-06,3.62987186920349e-06,"340570107"
"110",810,3.6624918241461e-06,3.6624918241461e-06,2.9700673948764e-06,2.9700673948764e-06,"340570107"
"111",830,3.01494469490558e-06,3.01494469490558e-06,2.4301960642053e-06,2.4301960642053e-06,"340570107"
"112",850,2.4818871822215e-06,2.4818871822215e-06,1.98845754162583e-06,1.98845754162583e-06,"340570107"
"113",870,2.04307694123998e-06,2.04307694123998e-06,1.62701415457259e-06,1.62701415457259e-06,"340570107"
"114",890,1.68185057633856e-06,1.68185057633856e-06,1.33127059731692e-06,1.33127059731692e-06,"340570107"
"115",910,1.38449086475109e-06,1.38449086475109e-06,1.08928456356677e-06,1.08928456356677e-06,"340570107"
"116",930,1.13970585826487e-06,1.13970585826487e-06,8.91284508811531e-07,8.91284508811531e-07,"340570107"
"117",950,9.38200082379597e-07,9.38200082379597e-07,7.29275069359521e-07,7.29275069359521e-07,"340570107"
"118",970,7.72321549629621e-07,7.72321549629621e-07,5.96714204646629e-07,5.96714204646629e-07,"340570107"
"119",990,6.35771182741127e-07,6.35771182741127e-07,4.88249025624547e-07,4.88249025624547e-07,"340570107"
"120",1010,5.23363613248775e-07,5.23363613248775e-07,3.9949964181679e-07,3.9949964181679e-07,"340570107"
"121",1030,4.30830272130066e-07,4.30830272130066e-07,3.26882298654032e-07,3.26882298654032e-07,"340570107"
"122",1050,3.54657295014196e-07,3.54657295014196e-07,2.67464663265822e-07,2.67464663265822e-07,"340570107"
"123",1070,2.91952086572073e-07,2.91952086572073e-07,2.18847415080171e-07,2.18847415080171e-07,"340570107"
"124",1090,2.40333476998902e-07,2.40333476998902e-07,1.79067359786786e-07,1.79067359786786e-07,"340570107"
"125",1110,1.97841299387743e-07,1.97841299387743e-07,1.46518154346323e-07,1.46518154346323e-07,"340570107"
"126",1130,1.62861954282005e-07,1.62861954282005e-07,1.19885441872903e-07,1.19885441872903e-07,"340570107"
"127",1150,1.34067134792571e-07,1.34067134792571e-07,9.80937770966533e-08,9.80937770966533e-08,"340570107"
"128",1170,1.10363385424974e-07,1.10363385424974e-07,8.02631992238816e-08,8.02631992238816e-08,"340570107"
